,Character,Dialogue
0,JERRY,know know one single enjoyable experience life people ever hear people talking go talking whole thing one home one person home people tryin find u know one fabulous see really something hey going keep machine plugged move unplug machine score erased oh come lot people walking around city look like another friend come hello sentence finisher like dating mad libs join right hey wh well lisi another really bad meal thinking maybe call night walk home live riverside park back place right life right riverside park scared lopper let stay well wanted make little kind taste yeah pennsylvania dutch country oh serious relationship weekend place well think sleeping may sent wrong message well calling right well going lopper hi lisi uh yeah found street got worth something well anything maybe talk pennsylvania dutch thing come nowhere mean supposed respond well sorry ruined life exactly set even public dumb say bean pretty good well sorry brad nice meet ya oh thank god dark time breaking hour lopper know lisi maybe give little time see look light day lopper lisi lisi let work wrong right anything waiting oh sound great oh cannot busy going away long weekend great uh know put car toss dumpster long long weekend well come george help push across game screamin heckler night last time open rodeo suicide talk nickname talk mean like liza name g bone g spot bone lady going love ya heard opened kenny rogers oh comin whisper know maid hired service thank nice job yeah notice really even maid want actress uh model dancer news woman girlfriend rodeo moving like minute subway new area code run new number go dead bolt well cindy place look great ok see ya elaine think would go willy nilly situation obviously fraught potential complication pay clean rest going say good host point personal relationship work relationship separate think sophisticated yes yes store stuff gum maid might news woman kramer still phone really tuesday day madeline stay hey bone bone bone bone yes yeah closet behind ski tennis racket going well get around pay koko well probably intelligent ape well everything going great except basically payin sex george coming cleaning like seein prostitute know ooh look talking never mind go back said never mind hate counter hey oh mind hey great elaine got new number died new kind pie hey booth going work get tired double zero sound like run real tight ship good bye koko kramer maybe relationship hear anything oh right hey great seeing love outfit really work took nap thought kind girlfriend bed making well took nap seems kind steep nap ho ho ho hold let u keep sophisticated breakup quitting oh yeah well fired kid know grandmother dead g miss would worry b elaine hello accept well happened around famous ray famous original ray well street wait pick kramer stay alive matter occurs find yeah cindy know really supposed hey come come got live around want make trouble want money nexus universe hey cindy cindy got money come take money let give ya well sophisticated right activity like paddle ball rubber band cannot believe made leave end game keep shirt got look guy trying box oh calm maroon golf think cut accelerated yeah make movie hindenburg flight made heh imagine laugh could gotten would yelled actual disaster music oh see stayed could seen run know unwind clock ticking make anxious one way street coming way besides going get way right worming letting well think going need hand see human face stare ahead hate use time one lane go maroon golf could move car back little cannot cannot leave group believe going going stupid line maybe little ah hell guess got see game guy could get walk away deductible know leaving car absolutely sped ready talk ok forehead hey one laser pointer see ya around maroon golf way sorry wave glad cut black saab rule long jackass elaine everyone would put car reverse time right count three everyone hear hey amigo paying attention guy amigo elaine cab come street almost elaine need going happen know hold george move right eye hey soda guy seems problem officer oh back get side yeah would bounce back forth cornea mirror faster faster getting intense finally oh eye kramer mets got men base watchin oh strike see eh varnsen kel varnsen actually room intrigue called tv room balk balk snack pennypacker wish brace madam bidding war time advantage varnsen oh hello mr vandelay course pennypacker vandelay wait second mr pennypacker mr vandelay also watching factory saab factory car love parade well car hey elaine well look uh relaxed well least somebody remember parked know mean like going someone never hear really something ask people behind later want go movie see movie movie shower today usually kind mood showered oh quit complaining least health ey ey nothing good time know turning burt lancaster jill father hospital call ask cell phone faux pa cannot make health inquiry cell phone like saying want take important time home get way street act total disregard selfish pompous hey hey hey think relationship thinking instituting open door urination policy let disabuse notion right friend uptight let u big pee party hey everybody grab bucket going jerry pee party hello yeah hi jerry seinfeld calling james kimbrough hello hi uh huh really uh problem definitely ok buhbye james kimbrough new president nbc want sit u talk jerry right yeah today like right jerry want talk jerry jerry sure forget sport jacket writer ok listen want scene like last time blow say want show nothing go nut might want nothing might want show anything everything right good good remember george spell shut george oy next day office people gather around water cooler talk right well probably easier say water cooler show coffee machine show think mr kimbrough make good point little wall definitely yeah hi elaine emergency get phone jerry back tv show george moving california hear said jill well say lost phone face even worse cell phone walk talk yeah pretty good nbc letting use private jet go anywhere want fantastic thanks great okay bye hey beach little meeting today nbc remember five year ago pilot jerry well new guy nbc want putting air giving u episode commitment george moving california yeah back agent said bonus use private jet go somewhere four u one big fling george go california anywhere think want make u let thing sit shelf five year russia bleak still bleak bleak spring alright come come people let u face going agree anything go paris settled going paris wait cannot make call like way cannot rush conversation first make cell phone walk talk loses call waiting face talking plane call hello newman give yeah right really shame oh forget pull together making sick man yeah set grab bag keep getting better better bad complaining private jet ted danson even network anymore writing letter still got water ear kramer hell kramer end cannot cannot end like yeah great yeah elaine got something want say alright straightening okay see later say go back new york take regular flight alright feel another one well go money lipo shame alright going call nbc okay thanks anyway cannot get another plane getting come let u go get something eat sticksville arrest oh yeah would missed whole thing forgot video plane ready know reduce milk level whole life always filled least three quarter sometimes top cereal conserve cannot even see milk anymore big adjustment one hardest thing ever good morning one yeah well go money lipo give rye want rye lady shut old bag virgin hell right bubble boy boy life bubble would unless mortal danger know law could get uromycitisis poisoning die medium crab bisque forget let go find babu make wear uniform prison bright orange one hey elaine say plane going maybe know going jail well year bad year back sure think would nice gesture see button worst possible spot oh yeah second button key button literally make break shirt look high man land think yeah maybe deal yard mean kid mother wanted play yard course worry next door neighbor tommy sticking shiv thigh lockdown locked cell bad sent prison prison would think weightlifting sodomy enough anyone cellblock talk slower kidding love cellblock friend george cellblock sir murder one oooooo watch everybody better nice kidding sir lighten grand theft auto steal joke hey come work knock license plate hand alright hey great see cafeteria
1,GEORGE,yes purple liked actually recall considering button alright take fifty deal could take merchandise cannot sell book marked going steal another one return way everything even going jerry mario pizza hey mario remember u slice grape soda hey jerry remember frogger used game gettin frog across street entire life double jump eat fly eat ah beat punk yes cannot believe still standing one beaten like year perfect combination mountain dew mozzarella right amount grease joy stick yeah oh ha ha uh want well jerry buying frogger machine torch burn forever want come mario pizza help pick frogger right must always problem would think could get break god know earned score need guy rig frogger machine move without losing power high score h hello well good kramer kramer listen never going child lose frogger high score slippery pete right going find guy truck glc must live slept automatically sleep finished thought ostrich burger know say ostrich le fat eat best slippery pete kramer tell one hell rogue electrician shlomo best truck driver oh good ok good kramer charge taping loading zone right right calm calm whatever happened past past basic layout mario pizza mean paid stealing right let u let u focus get back plan fine steal battery right frogger front door outlet outlet electricity come uh frogger right understand complicated jerry came big moment ha ha everything timed perfection jerry slippery pete got frogger running battery power truck minute kramer taped loading zone yeah yeah got come tonight play hear thee guy idiot going wear battery quick get thing back pizzeria need outlet hole need hole right kramer block traffic go sweet talk pharmacist wait minute look familiar reminds something jerry preparing moment entire life happened voice well jerry thinkin gotten far go george costanza nickname george nothing got snap zip need nickname make people light thinking bone g bone myth bone steak well bone kind guy love bone fact might well call uh hey george listen bone neil watkins accounting bone girlfriend laundry sleepin maid done ever eat ostrich burger excuse talk second watkins thing supposed bone listen ok everybody uh announcement make known koko yeah cindy maid tell went girl last week first pay dinner much pay maid payin maid laundry gettin nothing right pinched as know cannot eat leanin like look straight forward never mind happened mr krantz try piece hey oh yeah ooh ooh ooh ah ah really coco know could get coco woman kruger would able call koko anymore kruger would never allow kokos say good bye koko new vice president acquisition sir yes coco well hell ride ah excuse vice president coco one care gammy forget gammy gammy oh gammy gettin upset man starving ballpark food count real food nacho killing complicated saw new movie hindenburg blimp hindenburg story found morose dwell negative theme anyway right middle ship blow burning debris body falling eerie silence settle airfield yelled got hurt place went nut yeah flag could ice cream think might calmed nacho inch worm way hand guy giving stare ahead look man right letting thank creep right yeah see later movie blimp playing right performance jerry like lady uh seen excuse guy funny laser yeah thing uh little zinger wanted try right explosion scene could leave little window know uh aunt thing removed laser right want interrupt meal got hurt got hurt hurt aaarrrrrgh damn laser guy grab lowbrow laser shtick prop comic craft right last finally gettin probably chocolate right stop stay away breast chest look around look around want thing cannot hurt mean laser hit eye cannot blind jerry blind courageous oh god protection jerry tell lookin bring baby side right wait second think see laser guy look look oh yeah ok going sneak hunted becomes hunter laser pen oh funny well lovely apartment lovely kid going go crazy uh wonder could see bathroom preferably one paint thinner uh rag art pennypacker varnsen jerry mets lost suppose cannot eat without catsup would kill check u would terrible thing everything need anything ya thing excuse using catsup nah movie go sit eat popcorn watch sick yeah going turn jerry get minute want minute ah health good enough want health health anymore sick health oh gracious yeah crazy big hefty stinking faux pa street cell phone call lowest phone call make dismissive think something much boy really surprised elaine whole phone business know better uptight show jerry jerry oh god want talk jerry right jerry want talk jerry jerry go like sport jacket need sport jacket writer wear sport jacket feel like writer right water need water water worry worry scene blow fine nothing something nothing could care le anything everything something nothing hell care put magic time nothing hey hey hey hello stu jay crespi going forget jay crespi kimbrough k b r g h talent woo day ever see weather like woo crisp crispy crisp fruit department oh dangerous fruit like weapon thing got spike end get killed one thing done water cooler see think people would talk coffee machine really accurate nobody drink water cooler use bottle tell really think called relationship humor show could get together woo yeah moving california course liked would put like writing need idea show nothing going bleak bleak bit hilly want walk around little bottom sorry say little disappointed thought would lot nicer think plane ted danson get still bet gave plane lot nicer one real piece junk even feel safe thing good mind write letter tomr kimbrough effeminate sit like effeminate kramer would stop safe jumping plane kramer fooling around kramer oh god told stop hopping great told god would let successful jerry jerry hear something tell cheated contest contest cheated cheater tell hey going straightening getting regular plane psyched go private jet way getting regular plane first class make anymore get phone kimbrough tell happened tell get another plane time good one ted danson plane yeah tell hurry actually favor le money buy food never heard would want help somebody nun red cross worker right penalty let u pay fine something get hell oh california next week starting tv show would kill check u drop meal realize prisoner still entitled catsup yeah right make look older vandelay judge name vandelay jerry hear think good sign actually favor le money buy food hey great plane thanks lot piece junk know almost got u killed bubble boy invaded spain eighth century oh sorry moops correct answer moops sorry card say moops moops moops help someone moops fire get way yes sir good sandwich sir medium turkey chili get bread um excuse think forgot bread yes please hop hop plane really conversation think
2,ELAINE,coccoon ii return guess like okay seen everything oh lovely think parent think yknow would really funny gift pamelas birthday yeah met going idea talking blonde hair remember glass gammy feel good think gammy might dying yep yep ok good bye bobby call anymore dead got go aah hungry ate mets game oh come jerry nothing getting shellacked thought hungry watch maroon golf oh could oh right oh yeah called ohh oh city shuts fifth avenue never let anyone never getting home going miss minute know hate miss minute part sunday weekend wind jerry uhh exhaust going throw huh sure want face right think know going going somewhere else trying leave group year vaya con dios look guy dog hate ear get flipped inside like fix ooh moving could walk faster yes outta oh moving oh yeah knew hey hey cute really cute oh come right bye hey taxi taxi jerry uh well uh good hey went tuft safety school talk hardship boy eh believe mess girlfriend well actually used date anymore right well see ya hey george think sniper lookin pop ya oh nut cannot get across anywhere hey hey everyone way think get look one know long parade going last festive people know sunday night got unwind right come come let u go let u go get oh worry get home husband real soon well one really respect come father make right take easy right move faster without father gimpy able get across right oh thought get hold sorry somebody help u help let u unmarried pregnant woman help u cross street come far want unwind oh god let u hey well sunday night know like unwind right thanks ride kramer oh forgot call jill jill hi elaine father everything okay cannot hear good lot static wha going call back good faux pa thought bye bye jill hi elaine well calling home indoors well calling see fa sorry getting another call hang second hello jerry line sorry jill going take call jerry emergency emergency line talking jill said emergency go anywhere want exciting japan oh got russia bleak springtime cannot bleak spring switzerland going walking walk hill pick right know forget go paris hey nbc limo downstairs beep beep beep nbc tune going call jill one time go well cannot call limo call plane right call paris wow shut ruining whole trip turn around annoying sitting like effeminate yes think little effeminate know noise noise oh god going oh god going going die jerry got tell something first jerry always loved straightening okay well going paris mean actually going get back plane well sure would fly u first class see great thing robbing fat guy easy getaway know cannot really chase ya forget anything good samaritan law crazy know alright um excuse hi could tell kind law oh yeah guess could called help sure video good morning jackie look jackie thank jackie jackie say put jerry see great thing robbing fat guy easy getaway cannot really chase ya oh hi elaine soup nazi five cup chopped porcini mushroom half cup olive oil three pound celery soup nazi pack soup next soup good anyway thought deported think hope one cannot wear orange always loved united airline puddy wait blow call jill prison think would make one get one call prison call like king call
3,KRAMER,handle commercial real estate hi hey morty mmm mombassa hmm oh spend much shave yes buy sell men like every day assume waterfall grotto bathroom yes would absolute nearest one oh thank hola jerry puerto rican day sight sound hot spicy flavor caliente jerry yeah know watchin game come man need lighten know feeling like happens year yeah like every day puerto rico see getting spirit huh ooh dios mio oh accident look one thing say boy mama uh yes uh wanted uh stop make sure shark tank fit uh hello uh varnsen vandelay factory jerry sweden well know like every day puerto rico well logical explanation right well shall go home well jerry cannot deduct fun day nice get hey jojo thank come let u go beach beautiful day yeah something air today feel something air yeah something air oh hey oh missed buddy lot femininas major femininas know went swimming cannot get water ear moving california yeah jerry happens show hit could year might never come back jerry l nobody leaf seductress siren virgin whore fling say japan oh geisha cater every whim shy first quite skilled conversation discus anything world affair fine art fishing baking oh switzerland von trapp family huh oh yeah oui oui way fly cannot get rid maybe leaked inside brain got get cannot take anymore lost balance accident ready ready glory hallelujah straightening want capture right wrong plane got checking samaritan ancient tribe helpful people mmmm pretty good chow huh still video could watched later excellent huh worry use much milk know got make last bet bout jackie cool lady cool cool lady cool stop worrying jackie going get u never loses asked cop black man ever house see look face think going okay girl smiled could fun worry meal going saturday night show yeah could put show maybe bye bye birdie fair lady elaine could liza doolittle got huh oh boy relief
4,NEWMAN,kramer roof cannot going movie cannot eat fruit make incontinent hello gina hello jerry cannot hear idiot buy another one carpet sweeper use get rug clean well take look rug hello jerry hope stay happy wake reason ill bring date oh way well would take hell lot friend something earn care much beach freckle wow get boy full size bite one bite right right say anything swear mother life oooh jerry better stop ill tell right bed martin right front disgusting boy boy kramer ahhh yaaaahhh waaaaahhhh hello jerry speaking earlier kramer mentioned something private jet paris well hear quite beautiful time year course know one quarter french oh yes fact still family probably interest cousin suffering badly lost use muscle communicate blinking would love see bring ray sunshine tragic life ala cannot afford know simple postal worker take take right hear hear well day come oh yes mark word seinfeld day reckoning coming evil wind blow little playworld wipe smug smile face glory watching watching come crumbling
5,SUSAN,oh actually cooked stage premise fine good see hello well forget tommorrow going shopping ring make plan time skimping eurk awful ah george uh huh yeah stuff sorries sack mister stop let go
6,UNCLE LEO,jerry listening park commissioner recommending jeffrey citation walking tour exactly right know whole history park two hour he talking answering question want know something whenever problem one high powered big shot park department know call jerry want hear something cousin jeffrey switching park transferring riverside hell completely revamp operation understand hell riverside central park money cousin helloooo come hello amy jeffrey went tonight supposed tape nature show love nature botany zoology know botany teacher college stay close touch became friend pretty rare mean actual friend like equal dinner together discussion oh yeah yeah get know jeffrey favorite animal leopard like spot oh uh ticket oh uh asked give message said uh sorry uh hope forgive talking meant sorry seat good jerry hello wife talking ashamed uncle embarrass always good uncle told went school print well remember v like perfect triangle whoa bus hello wait jerry hello listen want alarm nana missing came pick doctor appointment called doctor nobody know left apartment twenty five year kind check chemical used account since branch closed cashing check anyway grandmother fixed income broke hello wanted tell grandmother fine quite day going watch tonight tv tell little short anybody asks got know talking want jerry would please take want jerry take money cannot fixed income stop show time called uncle got week ah real tiger talking look told medium rare medium bet cook anti semite overcook hamburger jerry believe thought perfect every way cannot see flaw move back lydia last week told prime swinging anti semite hey danny hello oh want trying funny yeah sign jerry uncle leo hello got package jerry cousin jeffrey park production mikado want go see okay opening elaine hello going ask eyebrow fireball nurse eyebrow going grow back elaine elaine eyebrow left calm demeanor writing
7,HELEN,yknow jerry tomorrow well go hotel take apartment friend kramer mind used go one oh yeah alert warm person come nothing materialized know well think attractive girl see weight problem know cannot particular nobody perfect oh get electric blanket jerry last day prison crime passion leave alone nobody pay everyting sometimes father forgets steal crime passion last day prison congratulation show six six hope packed enough trial could last week cereal bringing jerry like say miss anything
8,MORTY,ah depends firm matter need lawyer ask someone party maryland one brought chocolate covered cherry like yknow jerry good thing particular loni anderson wrong loni anderson ask elaine number sound like friend friend would would ask number know one work well go office go building go lunch stand lobby elevator wait come lunch want ask elaine number pretend bumped well wear quick put show year ago bunch idiot network tell something jerry crap tv thing watch xena warrior princess must six six jerry ever watch packing cereal got enough life sentence bring snack pack
9,FRANK,eight year car scratch eight year beautiful mercury special ordered bench seat let u rumble stop cry fight father best festivus ever oh baby doll kid going place told without writing nothing one make look good would leave alone shatter confidence maybe fault fault tell one smothered smothered could get air could breathe suffocating make living could give twelve million dollar hideki irabu got get want beat traffic
10,ESTELLE,understand really nothing better three clock afternoon go quart milk come home find son treating body like amusement park give good thing hit table could cracked head open georgie leave alone dinner ready think take georgie picked show nbc guy liked told liked well know write since know write never saw write anything know going write show get idea nothing please tell truth whole thing sound pretty stupid poor georgie fault happened something wrong maybe fault oh fault smother sure always korea religious chachkis sorry bother judge please found guilty please kind good boy well maybe something know
11,MR. LIPPMAN,mmmmm ah hah bottom good idea thought guy going
12,STEINBRENNER,yes yes george talk second course accessible man wanted say great work canola oil stuff ade ade like name george fact george bout one time knocked right as cost like two quarter owner box got bring forty buck problem yes right good kid lovely boy shared calzone heck sandwich georgie one little problem though communist thick come like big juicy steak
13,JOE DIVOLA,jerry joe divola hair tongue good fear primal emotion know like encourage intruder like home shrine took telephoto lens coming office apartment shopping showering developed dark room would like see supposed able get opera ticket pagliacci friend really looking forward really know story pagliacci nedda clown whose wife unfaithful think clown nedda betrayed another nedda want tell want name tell name pagliacci kill wife leaving excuse anything welcome accept change know could say humiliate may dressed clown person need people like looking nose street performer trying make enough get showing girlfriend people make sick want money binaca
14,MICKEY,hey jerry pleasure let u even talk want sick make sick gave gonorrhea even tell
15,BABU,oh ah hear u smoking non smoking proud offer good name babu bhatt waiter steaming hot folded face cloth pleasure special taco moussaka frank bean oh turkey kind man kind thank kind deed pleasure oh welcome dream cafe kill kill babu babu bad man bad man lazy bad man wheel motion friend got mail give came visit said lawyer called help said wheel motion motion nothing sent back going save every rupee someday get back america exact vengeance man cannot forget haunt bad man bad man
16,WILHELM,called meeting problem last month someone stealing equipment club recently little thing know base batting helmet donut two night ago pulled big one took pitching machine batting cage field tarp mr steinbrenner vitamin reason believe inside job anybody know anything recommend strongly come forward george heard anything missing equipment george nothing hate liar feeling right george look little warm terrible liar george look wreck sweating bullet george seen morgan coming late week something wrong really make sure sign oh look george problem morgan tell understand seen morgan late george cover going gone soon going recommend job still want know happened birthday card morgan ever sign george beautiful tell going mounted like ha ha ha ha ha george keep good work george got final budget number went budget item think going problem meet mets meet mets come right greet mets
17,PETERMAN,best way get someplace never cry oh matter nice jacket soft huge button flap cargo pocket draw string waist deep biswing vent back perfect jumping gondola coat yes j peterman distance heard bull began running fast could fortunately wearing italian captoe oxford sophisticated yet different nothing make huge fuss rich dark brown calfskin leather matching leather vent men whole half size price shirt get bad must jerry seinfeld j peterman oh elaine called joining u worry tell maitre three bull ah fong accommodating shall understand hard feeling george miss company fong two evening george dine tucked river bend object search gwon jaya river market fabric spice traded starlit sky discovered pamplona beret size seven half eight three quarter price thirty five dollar ha ha nonsense george besides give chance tell latest trip burma discovered unusual corduroy peterman oh alright right uh p first twenty four hour worst better bring poncho ha ha ha ha oh stirring little anthem wellness missed get well party poor old walt polyp duodenum benign ooh still bastard oh elaine keep secret inside small college boy minifridge latest acquisition slice cake wedding king edward viii wallis simpson circa price elaine excellent would like meet friend mine irwin lubeck right brace lubeck launched via pastry back wedding one dashing romantic nazi sympathizer entire british royal family oh elaine stay lubeck world foremost appraiser vintage pastry right lubeck much worth ha ha ha ha ha lubeck glorious titwillow made profit castle windsor oh good lord elaine moment ago convinced receiving end one oldest baker grift book entenmann shim sham remembered videotape surveillance system installed catch walter using latrine also caught elaine question item still know happens butter based frosting six decade poorly ventilated english basement well feeling go punishment enough dismissed love god
18,PUDDY,hey cocktail speaker right let u hit brick hey babe new coat yeah saw jerry wearing looked like bit dandy check ball got question ask ball sign point yes alright careful car babe move seat got right like two ten babe peel feel like arby night yes right one going hell elaine forgot deliver paper today grab one c mon get sorry thou shalt steal care know going nah alright going rough bos going hell stole jesus fish way bogus man really mood going hell alright
19,PITT,mr landis something wrong copying machine coming slanted know department something else indefinable quality grace yes grace yes well want much grace able stand elaine want come work personal assistant pay pendant would need start right away like tight elastic need pull much elaine feel cold coming could get cold pill medicine cabinet yes yes check pharmacist girl want put elaine spoke someone worked okay man gave pill drug store pharmacist fired elaine goodbye tried smother pillow
20,BANIA,hey jerry hi hey name hey jerry jenna pretty good lookin huh oh awkward ouch hey jerry didja see jerry first pilot nbc one look like following puke funny word use
21,SOUP NAZI,bread extra want bread soup snap finger pushing luck little man yes good good know something soup come back one year next hey kissing line nobody kiss line cost soup ohh city continue right listen good friend armoire basement want pick welcome take one understands yes right tolerate le customer por favor adios muchacho knew never would given first place would taken hatchet smashed piece want soup next speak go leave get next think get soup please wasting everyone time recipe wild mushroom mulliga tawny yev kassem next question used come restaurant want bread three dollar soup idiot clown know order banned one woman year one day came back recipe wild mushroom published recipe close store move argentina ruined business say
